PING 192.168.2.101 (192.168.2.101) 56(84) bytes of data.
64 bytes from 192.168.2.101: icmp_seq=244 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=245 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=246 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=247 ttl=128 time=3.63 ms
64 bytes from 192.168.2.101: icmp_seq=248 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=249 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=250 ttl=128 time=1.92 ms
64 bytes from 192.168.2.101: icmp_seq=251 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=252 ttl=128 time=1.95 ms
64 bytes from 192.168.2.101: icmp_seq=253 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=254 ttl=128 time=1.64 ms
64 bytes from 192.168.2.101: icmp_seq=255 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=256 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=257 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=258 ttl=128 time=1.89 ms
64 bytes from 192.168.2.101: icmp_seq=259 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=260 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=261 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=262 ttl=128 time=1.57 ms
64 bytes from 192.168.2.101: icmp_seq=263 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=264 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=265 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=266 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=267 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=268 ttl=128 time=7.18 ms
64 bytes from 192.168.2.101: icmp_seq=269 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=270 ttl=128 time=4.47 ms
64 bytes from 192.168.2.101: icmp_seq=271 ttl=128 time=11.2 ms
64 bytes from 192.168.2.101: icmp_seq=272 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=273 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=274 ttl=128 time=2.33 ms
64 bytes from 192.168.2.101: icmp_seq=275 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=276 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=277 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=278 ttl=128 time=1.88 ms
64 bytes from 192.168.2.101: icmp_seq=279 ttl=128 time=2.04 ms
64 bytes from 192.168.2.101: icmp_seq=280 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=281 ttl=128 time=1.64 ms
64 bytes from 192.168.2.101: icmp_seq=282 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=283 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=284 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=285 ttl=128 time=5.31 ms
64 bytes from 192.168.2.101: icmp_seq=286 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=287 ttl=128 time=1.61 ms
64 bytes from 192.168.2.101: icmp_seq=288 ttl=128 time=1.63 ms
64 bytes from 192.168.2.101: icmp_seq=289 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=290 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=291 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=292 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=293 ttl=128 time=3.05 ms
64 bytes from 192.168.2.101: icmp_seq=294 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=295 ttl=128 time=1.90 ms
64 bytes from 192.168.2.101: icmp_seq=296 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=297 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=298 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=299 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=300 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=301 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=302 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=303 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=304 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=305 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=306 ttl=128 time=1.64 ms
64 bytes from 192.168.2.101: icmp_seq=307 ttl=128 time=1.99 ms
64 bytes from 192.168.2.101: icmp_seq=308 ttl=128 time=2.64 ms
64 bytes from 192.168.2.101: icmp_seq=309 ttl=128 time=1.61 ms
64 bytes from 192.168.2.101: icmp_seq=310 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=311 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=312 ttl=128 time=5.64 ms
64 bytes from 192.168.2.101: icmp_seq=313 ttl=128 time=2.11 ms
64 bytes from 192.168.2.101: icmp_seq=314 ttl=128 time=1.88 ms
64 bytes from 192.168.2.101: icmp_seq=315 ttl=128 time=1.68 ms
64 bytes from 192.168.2.101: icmp_seq=316 ttl=128 time=3.56 ms
64 bytes from 192.168.2.101: icmp_seq=317 ttl=128 time=2.39 ms
64 bytes from 192.168.2.101: icmp_seq=318 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=319 ttl=128 time=3.92 ms
64 bytes from 192.168.2.101: icmp_seq=320 ttl=128 time=3.35 ms
64 bytes from 192.168.2.101: icmp_seq=321 ttl=128 time=1.53 ms
64 bytes from 192.168.2.101: icmp_seq=322 ttl=128 time=7.48 ms
64 bytes from 192.168.2.101: icmp_seq=323 ttl=128 time=1.60 ms
64 bytes from 192.168.2.101: icmp_seq=324 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=325 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=326 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=327 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=328 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=329 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=330 ttl=128 time=1.61 ms
64 bytes from 192.168.2.101: icmp_seq=331 ttl=128 time=2.09 ms
64 bytes from 192.168.2.101: icmp_seq=332 ttl=128 time=2.00 ms
64 bytes from 192.168.2.101: icmp_seq=333 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=334 ttl=128 time=1.59 ms
64 bytes from 192.168.2.101: icmp_seq=335 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=336 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=337 ttl=128 time=2.04 ms
64 bytes from 192.168.2.101: icmp_seq=338 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=339 ttl=128 time=3.55 ms
64 bytes from 192.168.2.101: icmp_seq=340 ttl=128 time=3.23 ms
64 bytes from 192.168.2.101: icmp_seq=341 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=342 ttl=128 time=1.63 ms
64 bytes from 192.168.2.101: icmp_seq=343 ttl=128 time=3.09 ms
64 bytes from 192.168.2.101: icmp_seq=344 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=345 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=346 ttl=128 time=1.88 ms
